Id,Title,StartDate,EndDate,Duration,Posts,Comments,TotalModeratedComments,UniquePageViews,PageViews,AvgMinutesOnPage,EngagementMinutes
"1308623","Kvalifikacije za Euro 2016: Slovenija - Anglija","6/14/2015 5:38:06 AM","6/15/2015 2:28:19 AM","17:50:13.16","152","22","1","52583","77520","13","1064522"
"935782","Kvalifikacijska nogometna tekma Anglija - Slovenija","11/14/2014 1:03:35 PM","6/14/2015 7:58:48 PM","212:6:55:13.113","1605","375","0","25073","37710","16","611988"
"1256592","Finale Evrovizije, 23. 5. 2015","5/23/2015 6:15:00 PM","5/24/2015 4:00:00 AM","6:17:27.81","342","275","0","57198","88000","14","1268009"
"1256589","Drugi predizbor Evrovizije","5/21/2015 9:00:01 AM","5/21/2015 11:00:00 PM","20:09:32.303","151","106","0","36901","52486","15","790226"
"1208737","Zborovanje pred sodiščem","4/24/2015 1:03:46 PM","4/24/2015 6:46:35 PM","5:42:49.73","81","3","0","14894","19308","20","389377"
"1182925","zest","4/6/2015 1:30:43 PM","4/6/2015 4:31:27 PM","0:00:44.047","0","0","0","0","0","0","0"
"884890","MandatJJ","4/6/2015 1:29:18 PM","4/6/2015 4:29:45 PM","0:00:27.89","59","1","1","55141","72100","19","1431194"
"1114340","Ema 2015","2/28/2015 4:30:52 PM","3/3/2015 9:20:55 AM","2:13:50:03.617","113","65","7","34185","47439","14","710836"
"1014185","Po napadu v Parizu","1/9/2015 6:41:56 AM","1/9/2015 9:42:08 AM","0:00:12.967","48","19","1","40892","63989","18","1170714"
"983669","Janša izpuščen iz zapora","12/12/2014 4:41:04 PM","12/12/2014 7:41:04 PM","0:00:00.67","0","0","0","0","0","0","0"
"979890","Liga prvakov, 6. krog: Maribor - Schalke","12/10/2014 2:30:00 PM","12/11/2014 12:00:00 PM","1:6:16:58.737","53","26","1","27744","50034","12","613694"
"952424","Liga prvakov v nogometu, 5. krog, Sporting Lizbona - Maribor","11/25/2014 8:45:00 AM","11/26/2014 10:00:00 AM","1:0:02:30.163","72","60","0","35982","53267","13","712524"
"916522","Liga prvakov, 4. krog, Maribor - Chelsea","11/5/2014 9:00:00 AM","11/6/2014 6:00:00 AM","13:43:19.197","107","28","3","68163","103495","14","1476087"
"894070","Liga prvakov, 3. krog, Chelsea - Maribor","10/21/2014 7:15:00 AM","10/22/2014 12:00:00 PM","1:0:53:58.01","118","53","0","39036","56896","13","795583"
"891342","2. krog lokalnih volitev","10/19/2014 3:37:52 PM","10/19/2014 10:48:16 PM","7:10:24.27","111","9","1","38858","53877","9","495344"
"880497","Kvalifikacije za Euro 2016: Litva - Slovenija","10/12/2014 7:39:17 AM","10/13/2014 8:00:00 AM","17:15:30.14","75","7","0","48146","70146","17","1233434"
"875502","Kvalifikacije za Euro 2016: Slovenija - Švica","10/9/2014 5:45:00 AM","10/10/2014 8:00:00 AM","17:59:58.1","95","51","1","49997","73215","16","1175419"
"817205","Kvalifikacije za Euro 2016: Estonija - Slovenija","10/9/2014 5:46:52 AM","10/9/2014 5:46:58 AM","0:00:06.077","96","15","3","47439","67951","14","974627"
"868518","Lokalne volitve 2014","10/5/2014 4:41:02 PM","10/5/2014 10:33:49 PM","5:52:47.447","115","23","1","75543","106779","10","1166382"
"867224","12. krog PLTS: Maribor - Olimpija","10/4/2014 10:00:00 AM","10/5/2014 7:00:00 AM","19:32:34.243","158","90","3","35775","53306","15","802438"
"860743","Liga prvakov, 2. krog, Schalke - Maribor","9/30/2014 10:28:52 AM","10/1/2014 3:00:00 AM","13:07:24.843","76","47","1","41012","59950","14","891167"
"835376","Liga prvakov, 1. krog: Maribor - Sporting","9/17/2014 10:33:32 AM","9/18/2014 6:00:00 AM","14:14:25.56","115","61","4","70004","101664","15","1568033"
"819149","SP v košarki: Slovenija - ZDA","9/9/2014 9:14:53 AM","9/10/2014 7:00:00 AM","12:54:44.72","107","41","4","52925","81185","16","1328540"
"806064","SP v košarki: Slovenija - Južna Koreja","9/2/2014 7:14:12 AM","9/3/2014 5:27:25 AM","7:1:59:20.967","42","1","0","40249","59096","16","985505"
"808041","SP V Košarki: Slovenija - Angola","9/3/2014 5:28:15 AM","9/3/2014 10:56:09 PM","14:27:54.577","23","5","1","36790","51186","17","870421"
"797925","Prva liga TS, 7. krog","8/29/2014 2:45:00 PM","9/1/2014 12:00:00 PM","2:21:11:09.947","278","24","0","34247","45281","10","491481"
"801338","SP v košarki: Slovenija - Mehika","8/31/2014 6:45:00 AM","9/1/2014 6:45:00 AM","17:13:34.397","64","5","0","39203","54229","12","699660"
"798690","SP v košarki: Slovenija - Avstralija","8/30/2014 4:45:39 AM","8/31/2014 5:00:00 AM","18:21:03.343","73","7","0","38187","56191","14","816605"
"791379","Liga prvakov, 4. predkrog: Celtic - Maribor","8/26/2014 5:00:00 PM","8/27/2014 9:45:00 PM","1:4:39:03.173","91","61","5","43986","68068","14","994423"
"785152","Prva liga TS, 6. krog","8/23/2014 2:30:00 PM","8/25/2014 12:00:00 PM","1:21:26:58.35","246","53","0","17089","22970","10","251348"
"780480","Liga prvakov, 4. predkrog: Maribor - Celtic","8/20/2014 2:36:11 PM","8/21/2014 12:21:00 AM","6:44:49.22","63","14","0","29962","42664","15","667531"
"772620","Prva liga TS, 5. krog","8/15/2014 8:30:45 AM","8/18/2014 8:00:00 AM","2:23:18:40.287","286","37","0","28642","39508","11","440679"
"762645","Prva liga TS, 4. krog","8/9/2014 4:59:24 AM","8/11/2014 8:00:00 AM","2:2:38:44.62","317","49","0","40626","56659","11","627702"
"752083","Prva liga TS, 3. krog","8/1/2014 6:05:19 AM","8/4/2014 8:00:00 AM","2:15:12:26.26","169","32","0","18215","22513","8","197063"
"749836","Prva seja DZ-ja 2014","8/1/2014 5:00:00 AM","8/1/2014 7:56:15 PM","11:56:15.043","83","34","3","46728","59817","18","1077502"
"749331","Maribor - Maccabi Tel Aviv, prva tekma","7/29/2014 8:14:12 PM","7/31/2014 8:00:00 AM","1:12:45:27.42","76","6","2","31835","40586","14","603532"
